general_id,product_id,sku,url,product_name,price,image_list
elise_55657,55657,ff2308220dxwopt,https://elise.vn/dam-voan-hoa-tim-phoi-ren-pk-dai-eo-ff2308220dxwopt.html,ĐẦM VOAN HOA TÍM PHỐI REN PK ĐAI EO,2.298.000 VND,{'001_ĐẦM VOAN HOA TÍM PHỐI REN PK ĐAI EO': 'https://elise.vn/media/catalog/product/cache/f677d7e3a5087b6a18a5b1f320b78594/f/f/ff2308220dxwopt2.jpg'}
elise_55652,55652,ff2311095dxwopp,https://elise.vn/dam-voan-hoa-nen-hong-co-v-vien-ren-ff2311095dxwopp.html,ĐẦM VOAN HOA NỀN HỒNG CỔ V VIỀN REN,2.098.000 VND,{'001_ĐẦM VOAN HOA NỀN HỒNG CỔ V VIỀN REN': 'https://elise.vn/media/catalog/product/cache/f677d7e3a5087b6a18a5b1f320b78594/f/f/ff2311095dxwopp.jpg'}
elise_55647,55647,ff2309133bpwowh,https://elise.vn/quan-suong-trang-ly-giua-tui-cheo-ff2309133bpwowh.html,QUẦN SUÔNG TRẮNG LY GIỮA TÚI CHÉO,1.298.000 VND,{'001_QUẦN SUÔNG TRẮNG LY GIỮA TÚI CHÉO': 'https://elise.vn/media/catalog/product/cache/f677d7e3a5087b6a18a5b1f320b78594/f/f/ff2309133bpwowh1.jpg'}
elise_55642,55642,ff2311094tlwopp,https://elise.vn/sm-voan-hoa-nen-hong-vien-ren-ff2311094tlwopp.html,SM VOAN HOA NỀN HỒNG VIỀN REN,1.098.000 VND,{'001_SM VOAN HOA NỀN HỒNG VIỀN REN': 'https://elise.vn/media/catalog/product/cache/f677d7e3a5087b6a18a5b1f320b78594/f/f/ff2311094tlwopp3.jpg'}
elise_55637,55637,ff2309055diwopk,https://elise.vn/dam-xoe-soi-hong-phan-chan-bo-can-ff2309055diwopk.html,ĐẦM XÒE SỢI HỒNG PHẤN CHÂN BỔ CAN,2.098.000 VND,{'001_ĐẦM XÒE SỢI HỒNG PHẤN CHÂN BỔ CAN': 'https://elise.vn/media/catalog/product/cache/f677d7e3a5087b6a18a5b1f320b78594/f/f/ff2309055diwopk2.jpg'}
elise_55632,55632,ff2308191diwocr,https://elise.vn/dam-kem-om-co-day-hat-trai-ff2308191diwocr.html,ĐẦM KEM ÔM CỔ DÂY HẠT TRAI,2.298.000 VND,{'001_ĐẦM KEM ÔM CỔ DÂY HẠT TRAI': 'https://elise.vn/media/catalog/product/cache/f677d7e3a5087b6a18a5b1f320b78594/f/f/ff2308191diwocr3.jpg'}
elise_55627,55627,ff2306396dilacr,https://elise.vn/dam-ren-hoa-kem-tay-chom-ff2306396dilacr.html,ĐẦM REN HOA KEM TAY CHỜM,2.498.000 VND,{'001_ĐẦM REN HOA KEM TAY CHỜM': 'https://elise.vn/media/catalog/product/cache/f677d7e3a5087b6a18a5b1f320b78594/f/f/ff2306396dilacr2.jpg'}
elise_55622,55622,ff2309161diwopa,https://elise.vn/dam-van-hong-sen-dieu-chi-dai-eo-ff2309161diwopa.html,ĐẦM VÂN HỒNG SEN DIỄU CHỈ ĐAI EO,2.098.000 VND,{'001_ĐẦM VÂN HỒNG SEN DIỄU CHỈ ĐAI EO': 'https://elise.vn/media/catalog/product/cache/f677d7e3a5087b6a18a5b1f320b78594/f/f/ff2309161diwopa1.jpg'}
elise_55617,55617,ff2309157dmwopk,https://elise.vn/dam-hong-dinh-no-eo-ff2309157dmwopk.html,ĐẦM HỒNG ĐÍNH NƠ EO,2.098.000 VND,{'001_ĐẦM HỒNG ĐÍNH NƠ EO': 'https://elise.vn/media/catalog/product/cache/f677d7e3a5087b6a18a5b1f320b78594/f/f/ff2309157dmwopk2.jpg'}
elise_55612,55612,ff2309016bkwopu,https://elise.vn/jupe-van-tim-dinh-thanh-logo-cap-ff2309016bkwopu.html,JUPE VÂN TÍM ĐÍNH THANH LOGO CẠP,1.098.000 VND,{'001_JUPE VÂN TÍM ĐÍNH THANH LOGO CẠP': 'https://elise.vn/media/catalog/product/cache/f677d7e3a5087b6a18a5b1f320b78594/f/f/ff2309016bkwopu.jpg'}
elise_55607,55607,ff2309015tuwopu,https://elise.vn/vest-van-tim-tay-lo-ve-ff2309015tuwopu.html,VEST VÂN TÍM TAY LƠ VÊ,1.698.000 VND,{'001_VEST VÂN TÍM TAY LƠ VÊ': 'https://elise.vn/media/catalog/product/cache/f677d7e3a5087b6a18a5b1f320b78594/f/f/ff2309015tuwopu3.jpg'}
elise_55602,55602,ff2308005dmwowh,https://elise.vn/dam-suong-trang-dinh-hoa-ren-pk-nguc-ff2308005dmwowh.html,ĐẦM SUÔNG TRẮNG ĐÍNH HOA REN PK NGỰC,2.098.000 VND,{'001_ĐẦM SUÔNG TRẮNG ĐÍNH HOA REN PK NGỰC': 'https://elise.vn/media/catalog/product/cache/f677d7e3a5087b6a18a5b1f320b78594/f/f/ff2308005dmwowh.jpg'}
elise_55597,55597,ff2308187dilawh,https://elise.vn/dam-ren-hoa-trang-co-duc-dinh-no-nguc-ff2308187dilawh.html,ĐẦM REN HOA TRẮNG CỔ ĐỨC ĐÍNH NƠ NGỰC,2.298.000 VND,{'001_ĐẦM REN HOA TRẮNG CỔ ĐỨC ĐÍNH NƠ NGỰC': 'https://elise.vn/media/catalog/product/cache/f677d7e3a5087b6a18a5b1f320b78594/f/f/ff2308187dilawh1.jpg'}
elise_55592,55592,ff2306390bkwopu,https://elise.vn/chan-vay-tweed-tim-dap-ly-dinh-cuc-ff2306390bkwopu.html,CHÂN VÁY TWEED TÍM DẬP LY ĐÍNH CÚC,1.498.000 VND,{'001_CHÂN VÁY TWEED TÍM DẬP LY ĐÍNH CÚC': 'https://elise.vn/media/catalog/product/cache/f677d7e3a5087b6a18a5b1f320b78594/f/f/ff2306390bkwopu1.jpg'}
elise_55587,55587,ff2306389tlorpu,https://elise.vn/sm-to-tim-bau-mi-chun-gau-ff2306389tlorpu.html,SM TƠ TÍM BẤU MÍ CHUN GẤU,1.198.000 VND,{'001_SM TƠ TÍM BẤU MÍ CHUN GẤU': 'https://elise.vn/media/catalog/product/cache/f677d7e3a5087b6a18a5b1f320b78594/f/f/ff2306389tlorpu3.jpg'}
elise_55582,55582,ff2308054jlwobk,https://elise.vn/jumpsuit-dai-den-phoi-nguc-ren-luoi-noi-ff2308054jlwobk.html,JUMPSUIT DÀI ĐEN PHỐI NGỰC REN LƯỚI NỔI,2.298.000 VND,{'001_JUMPSUIT DÀI ĐEN PHỐI NGỰC REN LƯỚI NỔI': 'https://elise.vn/media/catalog/product/cache/f677d7e3a5087b6a18a5b1f320b78594/f/f/ff2308054jlwobk.jpg'}
elise_55577,55577,ff2306320dxwocr,https://elise.vn/dam-kem-dai-tay-nguc-to-ht-xoan-ff2306320dxwocr.html,ĐẦM KEM DÀI TAY NGỰC TƠ HT XOẮN,2.298.000 VND,{'001_ĐẦM KEM DÀI TAY NGỰC TƠ HT XOẮN': 'https://elise.vn/media/catalog/product/cache/f677d7e3a5087b6a18a5b1f320b78594/f/f/ff2306320dxwocr3.jpg'}
elise_55572,55572,ff2307053dmwowh,https://elise.vn/dam-trang-phoi-ren-nguc-dinh-no-cuom-ff2307053dmwowh.html,ĐẦM TRẮNG PHỐI REN NGỰC ĐÍNH NƠ CƯỜM,2.098.000 VND,{'001_ĐẦM TRẮNG PHỐI REN NGỰC ĐÍNH NƠ CƯỜM': 'https://elise.vn/media/catalog/product/cache/f677d7e3a5087b6a18a5b1f320b78594/f/f/ff2307053dmwowh.jpg'}
elise_55567,55567,ff2310123diwobk,https://elise.vn/dam-chiffon-den-co-v-nhun-eo-ff2310123diwobk.html,ĐẦM CHIFFON ĐEN CỔ V NHÚN EO,2.098.000 VND,{'001_ĐẦM CHIFFON ĐEN CỔ V NHÚN EO': 'https://elise.vn/media/catalog/product/cache/f677d7e3a5087b6a18a5b1f320b78594/f/f/ff2310123diwobk11.jpg'}
elise_55562,55562,ff2307367dilabk,https://elise.vn/dam-thun-tam-den-chan-luoi-hoa-noi-ff2307367dilabk.html,ĐẦM THUN TĂM ĐEN CHÂN LƯỚI HOA NỔI,2.698.000 VND,{'001_ĐẦM THUN TĂM ĐEN CHÂN LƯỚI HOA NỔI': 'https://elise.vn/media/catalog/product/cache/f677d7e3a5087b6a18a5b1f320b78594/f/f/ff2307367dilabk14.jpg'}
elise_55557,55557,ff2307085bkwobe,https://elise.vn/jupe-gam-be-kt-logo-tui-cheo-ff2307085bkwobe.html,JUPE GẤM BE KT LOGO TÚI CHÉO,1.298.000 VND,{'001_JUPE GẤM BE KT LOGO TÚI CHÉO': 'https://elise.vn/media/catalog/product/cache/f677d7e3a5087b6a18a5b1f320b78594/f/f/ff2307085bkwobe11.jpg'}
elise_55552,55552,ff2307084tuwobe,https://elise.vn/vest-gam-be-kt-logo-nap-tui-ff2307084tuwobe.html,VEST GẤM BE KT LOGO NẮP TÚI,2.298.000 VND,{'001_VEST GẤM BE KT LOGO NẮP TÚI': 'https://elise.vn/media/catalog/product/cache/f677d7e3a5087b6a18a5b1f320b78594/f/f/ff2307084tuwobe14.jpg'}
